seed,pair,layer_id,top_m,overlap_fraction
0,1-2,0,1,0.28193204365079366
0,1-2,0,2,0.3693421378968254
0,1-2,0,3,0.42453083664021163
0,1-2,0,4,0.46904451884920634
0,1-2,0,5,0.5080853174603175
0,1-2,0,6,0.5456917576058201
0,1-2,0,7,0.5726465065192744
0,1-2,0,8,0.5977260044642857
0,1-2,0,9,0.6216896770282186
0,1-2,0,10,0.6415829613095239
0,1-2,0,11,0.6612131358225108
0,1-2,0,12,0.681235015707672
0,1-2,0,13,0.6995096916971917
0,1-2,0,14,0.7152135593820862
0,1-2,0,15,0.7346478174603175
0,1-2,0,16,0.751007564484127
0,1-2,0,17,0.7675124737394958
0,1-2,0,18,0.7835286458333334
0,1-2,0,19,0.8000192538638262
0,1-2,0,20,0.8162512400793651
0,1-2,0,21,0.8318186649659864
0,1-2,0,22,0.8464373083513709
0,1-2,0,23,0.8612095087129055
0,1-2,0,24,0.8757608403604498
0,1-2,0,25,0.8898524305555555
0,1-2,0,26,0.9034085489163615
0,1-2,0,27,0.9168986074368018
0,1-2,0,28,0.9310327646683674
0,1-2,0,29,0.946378326833607
0,1-2,0,30,0.9615668402777777
0,1-2,0,31,0.9788476462493599
0,1-2,0,32,1.0
0,1-2,1,1,0.1951574900793651
0,1-2,1,2,0.28326512896825395
0,1-2,1,3,0.33742559523809523
0,1-2,1,4,0.3828280009920635
0,1-2,1,5,0.4234809027777778
0,1-2,1,6,0.45790963955026454
0,1-2,1,7,0.4885735544217687
0,1-2,1,8,0.5187135726686508
0,1-2,1,9,0.5452697861552028
0,1-2,1,10,0.5688554067460317
0,1-2,1,11,0.5928875811688312
0,1-2,1,12,0.6152731274801587
0,1-2,1,13,0.6375963446275946
0,1-2,1,14,0.6586570826247166
0,1-2,1,15,0.6788835152116403
0,1-2,1,16,0.6984068855406746
0,1-2,1,17,0.7168789390756303
0,1-2,1,18,0.7351190476190477
0,1-2,1,19,0.7536957628446115
0,1-2,1,20,0.7720176091269841
0,1-2,1,21,0.7905210695389266
0,1-2,1,22,0.8083880095598845
0,1-2,1,23,0.8264225866977226
0,1-2,1,24,0.8428780691964286
0,1-2,1,25,0.8599131944444445
0,1-2,1,26,0.8777520222832723
0,1-2,1,27,0.8959975290270429
0,1-2,1,28,0.9150833510487528
0,1-2,1,29,0.9341464405446086
0,1-2,1,30,0.9535786623677248
0,1-2,1,31,0.9753554227470558
0,1-2,1,32,1.0
0,1-2,2,1,0.16279141865079366
0,1-2,2,2,0.22777157738095238
0,1-2,2,3,0.2869026951058201
0,1-2,2,4,0.3264973958333333
0,1-2,2,5,0.36478794642857143
0,1-2,2,6,0.3974041005291005
0,1-2,2,7,0.42538265306122447
0,1-2,2,8,0.4535706535218254
0,1-2,2,9,0.4837480709876543
0,1-2,2,10,0.5097315228174604
0,1-2,2,11,0.5352492559523809
0,1-2,2,12,0.5600405092592593
0,1-2,2,13,0.5849835927960928
0,1-2,2,14,0.6086575255102041
0,1-2,2,15,0.6327442956349206
0,1-2,2,16,0.6545913938492064
0,1-2,2,17,0.6756955386321195
0,1-2,2,18,0.6972811259920635
0,1-2,2,19,0.7180075840643275
0,1-2,2,20,0.7389322916666666
0,1-2,2,21,0.7597951506991686
0,1-2,2,22,0.7802353896103896
0,1-2,2,23,0.800490100931677
0,1-2,2,24,0.8211120928406085
0,1-2,2,25,0.841891121031746
0,1-2,2,26,0.8632359394078144
0,1-2,2,27,0.8843832671957672
0,1-2,2,28,0.9053498352465986
0,1-2,2,29,0.926896252394636
0,1-2,2,30,0.9493282903439153
0,1-2,2,31,0.9730632760496671
0,1-2,2,32,1.0
0,1-2,3,1,0.14239211309523808
0,1-2,3,2,0.20304749503968253
0,1-2,3,3,0.2459387400793651
0,1-2,3,4,0.2848849826388889
0,1-2,3,5,0.3226066468253968
0,1-2,3,6,0.3577318948412698
0,1-2,3,7,0.38763995181405897
0,1-2,3,8,0.41982886904761907
0,1-2,3,9,0.449187748015873
0,1-2,3,10,0.476850818452381
0,1-2,3,11,0.5037371482683982
0,1-2,3,12,0.5296275628306878
0,1-2,3,13,0.5553194635225885
0,1-2,3,14,0.5819205286281179
0,1-2,3,15,0.6057415674603175
